product_id,category,model_name,base_price_usd,material_name,aesthetic_tag,length_in,width_in,height_in,clearance_required_sqft,aesthetic_score,water_usage_gpm,power_watts,iot_enabled,eco_score,asset_file
V-013,Vanity,Archetype Architectural Floating Vanity,3600,Charcoal Concrete & Brass,Industrial Chic,54.0,21.0,20.0,14.0,9,0.0,0,0,7,
V-014,Vanity,Memoirs Stately Console Table Vanity,1350,Fireclay & Brass,Classic Luxury,30.0,22.0,35.0,8.5,8,0.0,0,0,7,
V-015,Vanity,Silestone Quartz Integrated Dual Vanity,3800,Engineered Quartz & Walnut,Minimalist Modern,66.0,22.5,34.0,17.0,10,0.0,0,0,9,
V-016,Vanity,Avesta Petite Wall-Hung Vanity,720,Bamboo & Ceramic,Japanese Zen,20.0,16.0,20.0,5.5,7,0.0,0,0,9,
V-017,Vanity,Kallista Grid Master Suite Vanity,5400,Cast Bronze & Nero Marquina Marble,Classic Luxury,72.0,24.0,35.5,20.0,10,0.0,0,0,6,
V-018,Vanity,Seville French Provincial Vanity,2450,Carved Antique Oak & Granite,Classic Luxury,48.0,22.0,34.0,12.5,8,0.0,0,0,7,
B-002,Bathtub,Sunstruck Oval Freestanding Soaking Tub,2300,Acrylic,Minimalist Modern,66.0,34.0,24.5,22.0,8,0.0,0,0,7,
B-003,Bathtub,Artifacts Cast Iron Clawfoot Tub,4100,Enameled Cast Iron,Classic Luxury,66.0,33.0,28.0,24.0,10,0.0,0,0,6,
B-004,Bathtub,Caskata Fluted Oval Stone Tub,5200,Cast Resin,Japanese Zen,68.0,35.0,23.0,24.0,10,0.0,0,0,7,
B-005,Bathtub,Archer Heated Backrest Alcove Tub,1150,Acrylic,Transitional,60.0,32.0,19.0,16.0,7,0.0,40,1,7,
B-006,Bathtub,Underscore Deep Soaking Cube Tub,1950,Acrylic,Japanese Zen,48.0,48.0,34.0,18.0,9,0.0,0,0,8,
B-007,Bathtub,Stillness Infinity-Edge Deep Soak Tub,8900,Cast Resin & Hinoki Wood,Japanese Zen,72.0,42.0,26.0,32.0,10,0.0,90,1,6,
B-008,Bathtub,Iron Works Historic Freestanding Oval Bath,5500,Enameled Cast Iron,Classic Luxury,66.0,36.0,24.5,25.0,9,0.0,0,0,6,
B-009,Bathtub,Stargaze Air-Bath Hydrotherapy Tub,3400,Cast Acrylic,Minimalist Modern,70.0,36.0,24.0,26.0,9,0.0,65,1,6,
B-010,Bathtub,Tea-for-Two Contoured Cast Iron Tub,3800,Enameled Cast Iron,Transitional,66.0,36.0,24.0,24.0,8,0.0,0,0,6,
B-011,Bathtub,Volute Architectural Solid Surface Bath,4700,Mineral Composite,Minimalist Modern,67.0,33.0,22.0,22.0,9,0.0,0,0,8,
B-012,Bathtub,Mariposa High-Gloss Whirlpool Tub,1650,Acrylic & Fiberglass,Transitional,60.0,36.0,20.0,18.0,7,0.0,50,0,6,
B-013,Bathtub,Bellwether Low-Step Alcove Bath,850,Enameled Cast Iron,Minimalist Modern,60.0,30.0,15.0,15.0,7,0.0,0,0,8,
B-014,Bathtub,Kallista Papion Fluid Freestanding Tub,7800,Composite Stone,Minimalist Modern,71.0,38.0,21.5,28.0,10,0.0,0,0,7,
B-015,Bathtub,Onyx Matte Black Vessel Bathtub,6100,Cast Resin,Industrial Chic,65.0,34.0,23.0,23.0,9,0.0,0,0,7,
B-016,Bathtub,RiverBath Quad-Hydrotherapy Spa Tub,7500,Cast Acrylic,Classic Luxury,75.0,45.0,25.0,35.0,9,0.0,120,1,5,
B-017,Bathtub,Evok Drop-In Zen Deep Soak Bath,2100,Acrylic,Japanese Zen,62.0,32.0,22.0,18.0,8,0.0,0,0,8,
M-002,Mirror,Verdera Bluetooth Voice Medicine Cabinet,1350,Glass & Aluminum,Minimalist Modern,30.0,5.0,30.0,2.5,9,0.0,45,1,8,
M-003,Mirror,Essential Round Backlit Vanity Mirror,520,Glass & Brushed Brass,Minimalist Modern,32.0,2.0,32.0,1.5,8,0.0,25,0,9,
M-004,Mirror,Profile LED Anti-Fog Rectangular Mirror,680,Glass & Anodized Aluminum,Minimalist Modern,40.0,2.5,30.0,2.0,8,0.0,30,0,9,
M-005,Mirror,Avoir Circular Dimmable Halo Mirror,790,Glass & Matte Black Metal,Japanese Zen,36.0,2.0,36.0,2.0,9,0.0,35,1,8,
M-006,Mirror,Artifacts Ornate Carved Gilt Mirror,850,Glass & Wood Composite,Classic Luxury,32.0,3.0,42.0,2.0,9,0.0,0,0,7,
M-007,Mirror,Maxstow Recessed Frameless Medicine Mirror,420,Glass & Steel,Transitional,24.0,4.0,36.0,1.5,7,0.0,0,0,8,
M-008,Mirror,Lumiere Smart Wellness Weather Mirror,1600,Glass & Smart Display Film,Minimalist Modern,48.0,3.0,36.0,3.0,10,0.0,50,1,8,
M-009,Mirror,Purist Minimalist Flat Pivot Mirror,460,Glass & Polished Chrome,Minimalist Modern,26.0,3.5,34.0,1.5,8,0.0,0,0,8,
M-010,Mirror,Memoirs Classic Beveled Wall Mirror,390,Glass & Molded Polymer,Classic Luxury,28.0,2.0,38.0,1.5,7,0.0,0,0,8,
M-011,Mirror,Studio McGee Arched Decorative Mirror,640,Glass & Antiqued Brass,Classic Luxury,26.0,2.0,40.0,1.5,9,0.0,0,0,7,
M-012,Mirror,Sol Edge-Lit Tunable CCT Smart Mirror,1100,Glass & Brushed Titanium,Japanese Zen,36.0,2.5,36.0,2.0,9,0.0,40,1,8,
M-013,Mirror,Industrial Pivot Iron Vanity Mirror,490,Glass & Cast Iron,Industrial Chic,24.0,3.0,36.0,1.5,8,0.0,0,0,8,
M-014,Mirror,Reflect Dual-Sided Magnified Smart Arm Mirror,310,Glass & Chrome,Minimalist Modern,12.0,4.0,14.0,1.0,7,0.0,15,0,8,
M-015,Mirror,Omni Horizon Panoramic Wide Mirror,1250,Glass & Smoked Oak Trim,Minimalist Modern,60.0,2.5,32.0,3.5,9,0.0,35,1,8,
M-016,Mirror,Kallista Contemporary Precision Polish Mirror,980,Glass & Sterling Silver Leaf,Classic Luxury,30.0,2.0,40.0,2.0,9,0.0,0,0,7,
X-002,Sensor,H2Wise Smart Whole-Home Shutoff Valve,850,Solid Brass & ABS,Minimalist Modern,8.0,5.0,6.0,1.0,8,0.0,15,1,10,
X-003,Sensor,Aquifer Intelligent Water Purity Monitor,420,BPA-free Polymer & Steel,Minimalist Modern,5.0,3.5,7.0,0.5,7,0.0,8,1,9,
X-004,Sensor,VapourSense Humidity & Ventilation Trigger,210,Matte Polycarbonate,Minimalist Modern,4.0,1.5,4.0,0.2,7,0.0,5,1,10,
X-005,Sensor,FlowGuard Ultrasonic Pipe Flow Meter,580,Brass & Composite,Industrial Chic,7.0,4.0,5.0,0.8,8,0.0,12,1,10,
X-006,Sensor,AuraScan Touchless Occupancy & Light Sensor,180,Matte White Acrylic,Japanese Zen,3.5,1.0,3.5,0.2,8,0.0,3,1,10,
X-007,Sensor,FreezeSafe Remote Freeze & Temp Detector,140,ABS Plastic,Minimalist Modern,3.0,1.2,3.0,0.2,6,0.0,2,1,9,
X-008,Sensor,PureAir VOC & Steam Bathroom Analyzer,320,Anodized Aluminum & Mesh,Minimalist Modern,5.0,2.0,5.0,0.3,8,0.0,6,1,9,
X-009,Sensor,HydroCheck Multi-Zone Flood Puck (3-Pack),290,Silicone & Polycarbonate,Transitional,3.0,3.0,1.0,0.5,7,0.0,4,1,10,
X-010,Sensor,EcoDrain Greywater Thermal Energy Sensor,740,Stainless Steel 316,Industrial Chic,10.0,4.5,4.5,1.2,8,0.0,10,1,10,
X-011,Sensor,SmartScent Micro-Aerosol Fragrance Dispenser,260,Frosted Glass & Aluminum,Japanese Zen,4.5,4.5,8.0,0.5,9,0.0,8,1,8,
X-012,Sensor,RadiantWarm Underfloor Temperature Probe,190,Copper & Thermoplastic,Minimalist Modern,2.0,2.0,1.0,0.1,7,0.0,2,1,9,
X-013,Sensor,AquaTrack Pressure Surge Dampening Sensor,490,Forged Brass,Classic Luxury,6.5,4.0,4.0,0.6,8,0.0,7,1,9,
